match_id,total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shot_home,passes_needed_to_make_a_shot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winner_team
3878548,21,7,0.2857142857142857,0.2857142857142857,16.182879981425522,10.09301947847436,1,1,13,6,0.6190476190476191,0.8571428571428571,18,6,3,1,0,0,607,332,0.7957166392092258,0.6536144578313253,14,5,28.904761904761905,47.42857142857143,27,6,0.4074074074074074,0.5,10,2,5,7,0,0,16,23,12,6,20,12,0.6,0.5,14,26,0,0,20,40,0,0,0,0,21,11,1,3,0,0,113,147,30,11,35,15,4,0,18,10,0.5,0.5,0,1,0,0,4,16,3,2,0.658479528921989,0.3415204710780108,0,0,2,2,3,5,9,1,8,1,52,53,6,2,15,5,9,5,0.3333333333333333,0.2,3,3,3,2,1,1,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
3878541,12,21,0.5833333333333334,0.2857142857142857,16.7985347205438,18.598699834894607,1,1,9,11,0.75,0.5238095238095238,11,15,1,6,0,0,300,591,0.6566666666666666,0.8510998307952623,8,17,25.0,28.142857142857142,9,17,0.1111111111111111,0.35294117647058826,3,7,6,11,1,0,17,15,19,10,26,13,0.7307692307692307,0.7692307692307693,12,11,0,2,34,21,0,0,0,0,11,14,2,1,0,0,133,123,34,38,23,33,5,2,14,15,0.5,0.5333333333333333,1,0,0,0,7,19,2,3,0.33386716350572904,0.666132836494271,0,2,6,3,1,6,5,5,4,3,57,62,3,2,6,13,5,11,0.5,0.23076923076923078,3,3,2,3,2,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
3878549,16,12,0.25,0.25,17.663251760977328,13.275136827798192,0,1,11,9,0.6875,0.75,15,8,1,4,0,0,550,425,0.7927272727272727,0.6988235294117647,13,7,34.375,35.416666666666664,14,8,0.21428571428571427,0.25,8,5,7,9,0,0,11,21,13,11,19,20,0.6842105263157895,0.55,16,19,1,0,29,24,0,0,2,0,10,12,1,2,0,0,174,184,37,30,50,31,1,4,12,15,0.5,0.3333333333333333,0,1,0,0,15,9,3,3,0.5322169656847362,0.4677830343152637,1,1,5,7,1,1,10,5,8,2,72,81,1,2,10,7,6,6,0.4,0.14285714285714285,3,3,3,2,0,2,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
3878547,13,26,0.23076923076923078,0.23076923076923078,25.183343525646066,15.573483315908083,1,2,5,14,0.38461538461538464,0.5384615384615384,11,20,2,6,0,0,383,434,0.741514360313316,0.7857142857142857,10,24,29.46153846153846,16.692307692307693,9,16,0.2222222222222222,0.625,3,12,6,5,1,0,28,15,13,14,24,27,0.5416666666666666,0.5185185185185185,11,12,1,5,29,32,0,0,0,0,14,15,2,2,0,0,170,167,42,29,43,38,3,1,12,24,0.75,0.5416666666666666,0,0,0,0,24,14,9,7,0.4728265128248838,0.5271734871751163,0,1,2,2,5,2,4,10,4,6,74,57,1,4,7,18,4,9,0.14285714285714285,0.2222222222222222,3,3,3,3,1,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
3878546,17,15,0.35294117647058826,0.26666666666666666,14.242282952491095,16.44282075105197,3,2,12,10,0.7058823529411765,0.6666666666666666,14,15,3,0,0,0,420,549,0.7071428571428572,0.7868852459016393,12,10,24.705882352941178,36.6,14,9,0.21428571428571427,0.2222222222222222,5,1,16,6,0,0,22,24,14,10,18,19,0.7777777777777778,0.5263157894736842,14,21,2,0,25,28,0,0,0,0,22,11,4,2,0,0,227,165,40,38,33,39,2,2,27,17,0.5925925925925926,0.4117647058823529,1,0,0,0,8,10,2,2,0.4778129666966672,0.5221870333033329,0,0,8,3,8,3,4,6,4,5,53,115,1,2,12,7,8,4,0.4166666666666667,0.14285714285714285,3,3,2,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3878545,10,25,0.7,0.28,15.873075334058546,18.431268927909183,1,3,6,13,0.6,0.52,9,19,1,6,0,0,563,391,0.8472468916518651,0.7877237851662404,5,15,56.3,15.64,7,16,0.14285714285714285,0.1875,4,7,9,3,0,2,17,7,7,8,14,10,0.5,0.8,17,18,0,3,22,17,1,1,1,0,12,16,2,3,1,0,157,171,37,23,22,42,1,0,10,14,0.5,0.7857142857142857,0,0,0,0,6,11,5,5,0.5417568399098898,0.4582431600901102,0,1,5,2,4,2,2,11,2,7,71,53,1,4,8,15,4,10,0.625,0.2,2,3,2,3,2,2,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3878544,19,10,0.3157894736842105,0.3,16.958542572546104,21.328242813973578,1,0,12,4,0.631578947368421,0.4,15,9,4,1,0,0,420,531,0.7571428571428571,0.807909604519774,17,9,22.105263157894736,53.1,18,14,0.4444444444444444,0.21428571428571427,5,6,8,5,0,0,19,15,11,12,16,20,0.6875,0.6,12,13,2,1,27,23,0,0,0,0,15,19,1,1,0,0,161,171,29,47,32,43,2,5,15,8,0.6666666666666666,0.5,0,0,0,0,15,13,3,2,0.47710532239396947,0.5228946776060304,1,1,2,2,5,2,5,4,5,2,65,58,3,1,11,5,6,1,0.2727272727272727,0.2,3,3,3,3,1,2,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3878543,22,5,0.36363636363636365,0.0,25.565138181377538,120.0,1,0,7,4,0.3181818181818182,0.8,22,4,0,1,0,0,657,313,0.8569254185692542,0.6869009584664537,18,5,29.863636363636363,62.6,13,3,0.46153846153846156,0.3333333333333333,9,1,6,5,1,0,16,26,10,15,20,27,0.5,0.5555555555555556,15,15,0,0,14,29,0,0,0,0,17,7,2,3,0,1,134,296,43,49,41,17,4,0,21,18,0.6666666666666666,0.5,1,1,0,0,21,12,4,4,0.6994602919785914,0.3005397080214085,0,0,4,1,3,4,12,2,5,2,136,40,6,1,12,1,4,1,0.3333333333333333,0.0,3,3,2,2,3,2,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3878542,14,9,0.5,0.0,22.505161260887604,120.0,3,0,6,5,0.42857142857142855,0.5555555555555556,14,8,0,1,0,0,560,414,0.825,0.748792270531401,9,7,40.0,46.0,12,13,0.16666666666666666,0.3076923076923077,4,5,7,7,0,0,23,17,7,7,12,13,0.5833333333333334,0.5384615384615384,18,18,1,1,13,13,0,1,1,1,14,15,3,3,0,1,176,184,27,45,37,42,1,4,10,13,0.6,0.6923076923076923,0,0,0,0,9,8,5,4,0.5547400269715854,0.4452599730284145,0,0,3,6,4,1,5,7,2,4,70,106,4,3,5,5,1,3,0.2,0.0,3,3,3,3,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3878540,22,9,0.4090909090909091,0.4444444444444444,22.443002839846148,22.45521141668931,2,1,9,5,0.4090909090909091,0.5555555555555556,21,8,1,1,0,0,615,455,0.8211382113821138,0.7362637362637363,17,5,27.954545454545453,50.55555555555556,14,3,0.14285714285714285,0.0,10,3,13,14,0,0,16,22,9,13,13,18,0.6923076923076923,0.7222222222222222,18,8,2,2,15,20,0,0,0,1,16,13,2,1,0,0,206,167,52,36,49,26,2,4,19,22,0.5789473684210527,0.7727272727272727,1,1,0,0,11,8,3,3,0.5382539388179567,0.4617460611820432,1,0,8,5,4,9,4,5,3,2,95,96,2,1,14,8,7,5,0.42857142857142855,0.375,3,3,2,2,4,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
