match_id,total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shot_home,passes_needed_to_make_a_shot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winner_team
3829421,9,12,0.3333333333333333,0.16666666666666666,25.12929384387192,12.80380213110784,0,0,5,7,0.5555555555555556,0.5833333333333334,8,7,1,5,0,0,457,529,0.7636761487964989,0.8090737240075614,5,11,50.77777777777778,44.083333333333336,13,7,0.3076923076923077,0.5714285714285714,3,4,8,6,1,0,16,17,10,11,21,18,0.5238095238095238,0.6111111111111112,10,11,3,3,17,19,0,0,0,0,14,14,0,1,1,0,164,173,28,42,45,33,3,1,18,15,0.6111111111111112,0.3333333333333333,0,0,0,0,12,12,5,6,0.45436531857380463,0.5456346814261953,0,0,7,4,2,2,2,4,2,4,94,72,3,0,5,4,2,1,0.6,0.25,3,3,3,3,3,1,2,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3829420,13,14,0.3076923076923077,0.42857142857142855,20.107446285082368,19.12865130682359,1,2,3,10,0.23076923076923078,0.7142857142857143,13,12,0,1,0,1,483,484,0.7474120082815735,0.7830578512396694,9,9,37.15384615384615,34.57142857142857,6,4,0.5,0.25,4,3,7,3,0,0,14,16,14,14,28,23,0.5,0.6086956521739131,14,14,0,1,22,26,0,0,0,1,13,18,3,2,0,0,171,167,42,32,46,24,2,2,13,20,0.6153846153846154,0.4,1,0,0,0,18,17,3,3,0.45817807280281686,0.5418219271971831,1,0,4,1,2,2,3,5,1,5,91,70,1,1,10,10,2,7,0.3,0.4,3,3,2,3,4,5,3,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
3829413,12,6,0.16666666666666666,0.3333333333333333,21.737916992144687,19.467647266169468,1,1,4,5,0.3333333333333333,0.8333333333333334,12,5,0,1,0,0,482,445,0.7987551867219918,0.8292134831460675,3,4,40.166666666666664,74.16666666666667,15,15,0.2,0.3333333333333333,3,2,4,6,1,0,14,23,16,14,28,22,0.5714285714285714,0.6363636363636364,24,21,0,0,11,31,0,0,0,1,15,16,3,3,0,1,132,105,20,30,30,12,0,2,26,24,0.38461538461538464,0.625,0,0,0,0,7,20,6,4,0.569705204415868,0.430294795584132,0,0,2,3,3,3,0,1,0,1,39,36,0,3,8,4,3,3,0.25,0.5,3,3,3,3,1,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
3829416,6,17,0.3333333333333333,0.35294117647058826,12.209683663726054,15.42053594940912,1,6,4,13,0.6666666666666666,0.7647058823529411,6,11,0,6,0,0,391,529,0.7416879795396419,0.8109640831758034,4,12,65.16666666666667,31.11764705882353,4,22,0.25,0.45454545454545453,2,10,4,12,0,0,15,11,9,13,21,19,0.42857142857142855,0.6842105263157895,22,21,1,0,13,10,0,0,0,0,11,13,3,2,1,0,159,152,37,36,18,38,2,0,15,22,0.6666666666666666,0.36363636363636365,2,0,0,0,15,11,1,1,0.40669534877255414,0.5933046512274458,0,0,2,6,2,6,2,6,2,5,73,69,0,1,5,8,3,6,0.4,0.375,3,3,1,3,5,3,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
3829422,22,10,0.22727272727272727,0.5,20.112627636666453,20.723704102546414,1,1,11,5,0.5,0.5,16,9,6,1,0,0,721,388,0.8765603328710125,0.7860824742268041,13,5,32.77272727272727,38.8,7,2,0.14285714285714285,1.0,7,2,7,15,0,0,17,19,7,16,13,19,0.5384615384615384,0.8421052631578947,11,12,1,0,9,25,0,0,0,0,13,13,1,2,0,0,149,217,37,19,42,17,0,0,10,15,0.8,0.4666666666666667,0,0,0,0,17,6,1,1,0.6452468192447202,0.3547531807552798,0,0,4,7,3,8,4,5,3,2,102,47,1,0,14,2,7,1,0.21428571428571427,1.0,3,3,3,3,2,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
3829419,11,16,0.36363636363636365,0.3125,19.214503532474808,14.360387001741321,0,1,8,13,0.7272727272727273,0.8125,6,13,5,3,0,0,578,346,0.8114186851211073,0.7052023121387283,10,14,52.54545454545455,21.625,12,6,0.5,0.8333333333333334,5,9,9,6,1,0,18,13,8,24,16,33,0.5,0.7272727272727273,12,17,0,2,25,35,0,0,0,0,9,13,3,2,0,0,121,254,26,43,32,30,3,0,25,9,0.56,0.6666666666666666,0,0,0,0,24,15,3,3,0.5712520854312362,0.4287479145687638,0,1,7,4,3,1,4,7,3,5,124,62,1,1,8,9,6,8,0.375,0.4444444444444444,3,2,3,2,3,1,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
3829418,10,10,0.4,0.4,24.601604321711047,21.19936443797836,0,0,2,5,0.2,0.5,9,9,1,1,0,0,530,411,0.7754716981132076,0.754257907542579,9,8,53.0,41.1,11,9,0.36363636363636365,0.1111111111111111,6,2,1,7,0,0,19,15,15,20,22,27,0.6818181818181818,0.7407407407407407,12,17,1,3,18,30,0,0,0,0,14,21,2,3,0,0,161,213,48,43,34,46,3,0,22,18,0.45454545454545453,0.7222222222222222,0,0,0,0,15,17,5,5,0.5612528647441891,0.4387471352558109,0,0,0,2,1,5,4,6,1,5,110,74,5,3,7,5,1,3,0.42857142857142855,0.6,3,3,3,3,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3829417,13,7,0.3076923076923077,0.14285714285714285,18.53742420269381,33.354160160315836,1,1,6,4,0.46153846153846156,0.5714285714285714,13,5,0,2,0,0,530,457,0.7641509433962265,0.7702407002188184,11,5,40.76923076923077,65.28571428571429,20,13,0.05,0.07692307692307693,9,3,8,7,0,0,17,14,12,9,16,15,0.75,0.6,12,9,0,0,14,33,1,0,0,0,12,8,0,4,0,0,153,198,31,38,50,31,1,5,19,10,0.631578947368421,0.8,0,0,0,0,10,14,2,3,0.5858615670442182,0.4141384329557818,1,0,4,2,4,5,3,1,2,0,124,84,3,2,8,4,4,2,0.25,0.25,3,2,3,2,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
3829415,11,6,0.2727272727272727,0.5,10.795860522602354,13.757933368461382,0,1,6,2,0.5454545454545454,0.3333333333333333,10,4,1,1,0,1,424,437,0.7122641509433962,0.7459954233409611,9,3,38.54545454545455,72.83333333333333,17,6,0.29411764705882354,0.3333333333333333,6,2,15,6,0,0,16,15,8,8,16,24,0.5,0.3333333333333333,16,23,0,2,16,33,0,0,0,0,16,19,0,1,1,0,132,173,26,33,25,26,1,5,18,15,0.5555555555555556,0.6,0,1,0,0,18,10,5,5,0.5602461033412294,0.43975389665877057,2,1,7,2,6,3,5,2,3,0,77,87,3,2,5,2,4,1,0.6,0.5,3,3,3,2,4,2,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
3829414,18,8,0.2222222222222222,0.5,16.667752446114314,18.455526919033495,4,1,12,5,0.6666666666666666,0.625,14,7,4,1,0,0,600,274,0.7916666666666666,0.5656934306569343,12,5,33.333333333333336,34.25,15,11,0.2,0.09090909090909091,13,2,4,8,0,0,12,28,13,19,25,34,0.52,0.5588235294117647,12,11,0,1,24,41,0,0,0,0,19,15,1,0,0,0,125,176,33,35,24,28,3,0,19,20,0.47368421052631576,0.35,0,0,0,0,25,13,2,2,0.6801461235843969,0.31985387641560326,0,0,3,5,1,3,3,3,3,2,93,52,3,2,10,4,7,2,0.2,0.5,3,3,3,3,2,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
